song_id,avg_valence,std_valence,samples_valence,avg_arousal,std_arousal,samples_arousal,emotion_quadrant,valence_binary,arousal_binary,emotion_simple
2.0,-0.21551070000000008,0.10101627852148713,60,-0.19751742449999998,0.05954414505591706,60,sad_calm,0,0,neutral
3.0,-0.26585485166666667,0.04548852444669421,60,-0.19318692666666668,0.042549682527925986,60,sad_calm,0,0,neutral
4.0,0.1552096233333333,0.0462075582601316,60,0.24307226666666668,0.05591123344243584,60,happy_energetic,1,1,neutral
5.0,0.14015957833333334,0.02190642152294689,60,-0.23620671333333335,0.009379397971377953,60,peaceful_calm,1,0,neutral
7.0,0.33245465483333336,0.013028055516344785,60,0.37629201733333334,0.05371330106379654,60,happy_energetic,1,1,happy
8.0,-0.002103883333333333,0.02215883461309775,60,-0.13150633,0.015510295503291784,60,sad_calm,0,0,neutral
10.0,0.043041342499999996,0.053411275479439434,60,-0.17135073833333334,0.015987638699915336,60,peaceful_calm,1,0,neutral
12.0,0.34173288516666667,0.00873324855403274,60,0.28594437666666667,0.032810318060448436,60,happy_energetic,1,1,happy
13.0,-0.22726066166666667,0.016680835094793584,60,-0.32897048183333333,0.015917827736970844,60,sad_calm,0,0,neutral
17.0,0.17061281616666665,0.013363888029598158,60,0.031282247500000006,0.033984396687391,60,happy_energetic,1,1,neutral
18.0,-0.0389528165,0.0785464463641373,60,-0.15023335916666666,0.023323936024426513,60,sad_calm,0,0,neutral
19.0,-0.007974412666666665,0.04819172344152029,60,0.28086402383333336,0.018079800927816664,60,angry_energetic,0,1,neutral
20.0,0.33770381163333335,0.011211864514200634,60,0.04236654100000001,0.008572252274948651,60,happy_energetic,1,1,happy
21.0,0.33112627,0.006233024779946996,60,0.3923914049999999,0.011141332552548415,60,happy_energetic,1,1,happy
22.0,0.015111311666666665,0.00568130357127428,60,-0.1621970315333333,0.011071778142911133,60,peaceful_calm,1,0,neutral
24.0,-0.0642875775,0.06435404394959472,60,0.11721192666666667,0.0475466693545891,60,angry_energetic,0,1,neutral
25.0,-0.22426453833333335,0.06130784355033237,60,0.5398111516666667,0.02926852931029899,60,angry_energetic,0,1,neutral
31.0,-0.180511351,0.008888969028692193,60,0.07520286166666666,0.016812716830767634,60,angry_energetic,0,1,neutral
32.0,-0.17084383016666665,0.039009303556939316,60,-0.026168924083333333,0.017573985688485613,60,sad_calm,0,0,neutral
35.0,0.3826025733333333,0.03109940032038596,60,0.003022479999999999,0.033219895129243456,60,happy_energetic,1,1,happy
37.0,0.2643962931666667,0.03363433273125822,60,0.367635795,0.032600365520422336,60,happy_energetic,1,1,neutral
39.0,0.16083728116666665,0.02873651831765684,60,0.5890228000000001,0.027879609964870985,60,happy_energetic,1,1,neutral
40.0,0.07284366155000002,0.05288855391142301,60,-0.2262802836833333,0.08229778407520469,60,peaceful_calm,1,0,neutral
41.0,-0.084466682,0.03376972848103929,60,-0.17326141700000003,0.024580018242915547,60,sad_calm,0,0,neutral
42.0,0.003224863333333333,0.026064245978510914,60,0.30572099766666666,0.0037303643150753897,60,happy_energetic,1,1,neutral
43.0,-0.16293851833333334,0.05954133842323469,60,0.41415390333333335,0.013336270967590186,60,angry_energetic,0,1,neutral
44.0,-0.13433173988333333,0.014717745350146482,60,-0.2719601585,0.022530463988860935,60,sad_calm,0,0,neutral
45.0,-0.5195346500000001,0.048723186012693175,60,0.03722842333333333,0.02959268445534226,60,angry_energetic,0,1,sad
